Column Name,Description
GP1,Trait Paranoia Item 1 (Score 1-5)
GP2,Trait Paranoia Item 2 (Score 1-5)
GP3,Trait Paranoia Item 3 (Score 1-5)
GP4,Trait Paranoia Item 4 (Score 1-5)
GP5,Trait Paranoia Item 5 (Score 1-5)
GP6,Trait Paranoia Item 6 (Score 1-5)
GP7,Trait Paranoia Item 7 (Score 1-5)
GP8,Trait Paranoia Item 8 (Score 1-5)
GP9,Trait Paranoia Item 9 (Score 1-5)
GP10,Trait Paranoia Item 10 (Score 1-5)
GP11,Trait Paranoia Item 11 (Score 1-5)
GP12,Trait Paranoia Item 12 (Score 1-5)
GP13,Trait Paranoia Item 13 (Score 1-5)
GP14,Trait Paranoia Item 14 (Score 1-5)
GP15,Trait Paranoia Item 15 (Score 1-5)
GP16,Trait Paranoia Item 16 (Score 1-5)
GP17,Trait Paranoia Item 17 (Score 1-5)
GP18,Trait Paranoia Item 18 (Score 1-5)
IMPSelfn1,Implicit/Negative Self-evaluation item 1.
IMPSelfn2,Implicit/Negative Self-evaluation item 2.
IMPSelfn3,Implicit/Negative Self-evaluation item 3.
IMPSelfn4,Implicit/Negative Self-evaluation item 4.
IMPSelfn5,Implicit/Negative Self-evaluation item 5.
IMPSelfn6,Implicit/Negative Self-evaluation item 6.
IMPSelfp1,Implicit/Positive Self-evaluation item 1.
IMPSelfp2,Implicit/Positive Self-evaluation item 2.
IMPSelfp3,Implicit/Positive Self-evaluation item 3.
IMPSelfp4,Implicit/Positive Self-evaluation item 4.
IMPSelfp5,Implicit/Positive Self-evaluation item 5.
IMPSelfp6,Implicit/Positive Self-evaluation item 6.
IMPOtherp1,Implicit/Positive Other-evaluation item 1.
IMPOtherp2,Implicit/Positive Other-evaluation item 2.
IMPOtherp3,Implicit/Positive Other-evaluation item 3.
IMPOtherp4,Implicit/Positive Other-evaluation item 4.
IMPOtherp5,Implicit/Positive Other-evaluation item 5.
IMPOtherp6,Implicit/Positive Other-evaluation item 6.
IMPOthern1,Implicit/Negative Other-evaluation item 1.
IMPOthern2,Implicit/Negative Other-evaluation item 2.
IMPOthern3,Implicit/Negative Other-evaluation item 3.
IMPOthern4,Implicit/Negative Other-evaluation item 4.
IMPOthern5,Implicit/Negative Other-evaluation item 5.
IMPOthern6,Implicit/Negative Other-evaluation item 6.
ThrPercen,Threat perception percentage.
RGPTSPers,Revised Green et al. Paranoid Thoughts Scale - Persecutory subscale score.
RGPTSSref,Revised Green et al. Paranoid Thoughts Scale - Referential subscale score.
DASSTot,"Total score for the Depression, Anxiety, and Stress Scale (DASS)."
sum_LE_1,Summary score for Life Event 1.
sum_LE_2,Summary score for Life Event 2
sum_LE_3,Summary score for Life Event 3
sum_LE_4,Summary score for Life Event 4
sum_LE_5,Summary score for Life Event 5
sum_LE_6,Summary score for Life Event 6
sum_LE_7,Summary score for Life Event 7
sum_LE_8,Summary score for Life Event 8
sum_LE_9,Summary score for Life Event 9
sum_LE_10,Summary score for Life Event 10
sum_LE_11,Summary score for Life Event 11
sum_LE_12,Summary score for Life Event 12
sum_LE_13,Summary score for Life Event 13
sum_LE_14,Summary score for Life Event 14
sum_LE_15,Summary score for Life Event 15
sum_LE_16,Summary score for Life Event 16
sum_LE_17,Summary score for Life Event 17
sum_LE_18,Summary score for Life Event 18
sum_LE_19,Summary score for Life Event 19
sum_LE_20,Summary score for Life Event 20
sum_LE_21,Summary score for Life Event 21
sum_LE_22,Summary score for Life Event 22
sum_LE_23,Summary score for Life Event 23
sum_LE_24,Summary score for Life Event 24
sum_LE_25,Summary score for Life Event 25
n_t,Total number of trials of the Intentions Game completed by the participant.
